label_target,scope,variant_name,repeat_idx,seed,cv_strategy,n_folds,auc,brier_score,accuracy
geometric,B,baseline,1,42,stratified_kfold,5,0.862585034013606,0.153520199311601,0.785714285714286
geometric,B,baseline,2,43,stratified_kfold,5,0.812244897959184,0.172678344090445,0.767857142857143
geometric,B,baseline,3,44,stratified_kfold,5,0.857142857142857,0.155820916392373,0.785714285714286
geometric,B,baseline,4,45,stratified_kfold,5,0.851700680272109,0.155695143165971,0.839285714285714
geometric,B,baseline,5,46,stratified_kfold,5,0.85578231292517,0.152859184836283,0.803571428571429
geometric,B,baseline,6,47,stratified_kfold,5,0.862585034013605,0.149373657602857,0.821428571428571
geometric,B,baseline,7,48,stratified_kfold,5,0.850340136054422,0.155722090932572,0.785714285714286
geometric,B,baseline,8,49,stratified_kfold,5,0.857142857142857,0.154723393287609,0.785714285714286
geometric,B,baseline,9,50,stratified_kfold,5,0.844897959183673,0.167288456566968,0.767857142857143
geometric,B,baseline,10,51,stratified_kfold,5,0.861224489795918,0.153602644454506,0.785714285714286
geometric,B,baseline,11,52,stratified_kfold,5,0.795918367346939,0.194310729012486,0.696428571428571
geometric,B,baseline,12,53,stratified_kfold,5,0.821768707482993,0.172628247706923,0.767857142857143
geometric,B,baseline,13,54,stratified_kfold,5,0.86530612244898,0.152417018171036,0.803571428571429
geometric,B,baseline,14,55,stratified_kfold,5,0.868027210884354,0.150683989490557,0.803571428571429
geometric,B,baseline,15,56,stratified_kfold,5,0.858503401360544,0.156968080698918,0.803571428571429
geometric,B,baseline,16,57,stratified_kfold,5,0.839455782312925,0.168980663083642,0.732142857142857
geometric,B,baseline,17,58,stratified_kfold,5,0.844897959183673,0.158483834541866,0.785714285714286
geometric,B,baseline,18,59,stratified_kfold,5,0.843537414965986,0.153203195458322,0.803571428571429
geometric,B,baseline,19,60,stratified_kfold,5,0.851700680272109,0.162756134828033,0.75
geometric,B,baseline,20,61,stratified_kfold,5,0.84625850340136,0.157463197378696,0.803571428571429
geometric,B,full_proposed,1,42,stratified_kfold,5,0.895238095238095,0.122643820170815,0.857142857142857
geometric,B,full_proposed,2,43,stratified_kfold,5,0.906122448979592,0.123310114466857,0.821428571428571
geometric,B,full_proposed,3,44,stratified_kfold,5,0.880272108843537,0.134087074951554,0.821428571428571
geometric,B,full_proposed,4,45,stratified_kfold,5,0.908843537414966,0.110564882425411,0.857142857142857
geometric,B,full_proposed,5,46,stratified_kfold,5,0.893877551020408,0.127322050008429,0.821428571428571
geometric,B,full_proposed,6,47,stratified_kfold,5,0.896598639455782,0.122730365725756,0.821428571428571
geometric,B,full_proposed,7,48,stratified_kfold,5,0.853061224489796,0.164018937770549,0.767857142857143
geometric,B,full_proposed,8,49,stratified_kfold,5,0.895238095238095,0.126841224159125,0.821428571428571
geometric,B,full_proposed,9,50,stratified_kfold,5,0.87891156462585,0.150302865826565,0.785714285714286
geometric,B,full_proposed,10,51,stratified_kfold,5,0.927891156462585,0.107470432416716,0.821428571428571
geometric,B,full_proposed,11,52,stratified_kfold,5,0.897959183673469,0.134030452318233,0.803571428571429
geometric,B,full_proposed,12,53,stratified_kfold,5,0.919727891156462,0.110038199157809,0.839285714285714
geometric,B,full_proposed,13,54,stratified_kfold,5,0.906122448979592,0.131352390953694,0.839285714285714
geometric,B,full_proposed,14,55,stratified_kfold,5,0.919727891156462,0.116168113559596,0.803571428571429
geometric,B,full_proposed,15,56,stratified_kfold,5,0.857142857142857,0.14795368652433,0.803571428571429
geometric,B,full_proposed,16,57,stratified_kfold,5,0.902040816326531,0.131459162556282,0.857142857142857
geometric,B,full_proposed,17,58,stratified_kfold,5,0.88843537414966,0.131992792687087,0.857142857142857
geometric,B,full_proposed,18,59,stratified_kfold,5,0.903401360544218,0.120861958208711,0.821428571428571
geometric,B,full_proposed,19,60,stratified_kfold,5,0.862585034013605,0.147585108975255,0.821428571428571
geometric,B,full_proposed,20,61,stratified_kfold,5,0.88843537414966,0.13431493604702,0.803571428571429
geometric,B,drop_gamma_rx1_only,1,42,stratified_kfold,5,0.902040816326531,0.125148571510648,0.821428571428571
geometric,B,drop_gamma_rx1_only,2,43,stratified_kfold,5,0.897959183673469,0.119825263411632,0.875
geometric,B,drop_gamma_rx1_only,3,44,stratified_kfold,5,0.876190476190476,0.133557123742049,0.821428571428571
geometric,B,drop_gamma_rx1_only,4,45,stratified_kfold,5,0.912925170068027,0.112060474585031,0.857142857142857
geometric,B,drop_gamma_rx1_only,5,46,stratified_kfold,5,0.906122448979592,0.116926581642316,0.803571428571429
geometric,B,drop_gamma_rx1_only,6,47,stratified_kfold,5,0.897959183673469,0.125364552587847,0.803571428571429
geometric,B,drop_gamma_rx1_only,7,48,stratified_kfold,5,0.866666666666666,0.158775709491045,0.767857142857143
geometric,B,drop_gamma_rx1_only,8,49,stratified_kfold,5,0.906122448979592,0.120501239951436,0.821428571428571
geometric,B,drop_gamma_rx1_only,9,50,stratified_kfold,5,0.874829931972789,0.138871962081382,0.803571428571429
geometric,B,drop_gamma_rx1_only,10,51,stratified_kfold,5,0.919727891156463,0.115333581017793,0.839285714285714
geometric,B,drop_gamma_rx1_only,11,52,stratified_kfold,5,0.892517006802721,0.128462484408191,0.821428571428571
geometric,B,drop_gamma_rx1_only,12,53,stratified_kfold,5,0.925170068027211,0.107071702524808,0.857142857142857
geometric,B,drop_gamma_rx1_only,13,54,stratified_kfold,5,0.907482993197279,0.127790963440185,0.821428571428571
geometric,B,drop_gamma_rx1_only,14,55,stratified_kfold,5,0.914285714285714,0.114653134601115,0.839285714285714
geometric,B,drop_gamma_rx1_only,15,56,stratified_kfold,5,0.874829931972789,0.144661241604848,0.785714285714286
geometric,B,drop_gamma_rx1_only,16,57,stratified_kfold,5,0.902040816326531,0.128063229569257,0.857142857142857
geometric,B,drop_gamma_rx1_only,17,58,stratified_kfold,5,0.896598639455782,0.12504861499622,0.839285714285714
geometric,B,drop_gamma_rx1_only,18,59,stratified_kfold,5,0.904761904761905,0.120005508583731,0.839285714285714
geometric,B,drop_gamma_rx1_only,19,60,stratified_kfold,5,0.866666666666667,0.144701796355122,0.821428571428571
geometric,B,drop_gamma_rx1_only,20,61,stratified_kfold,5,0.906122448979592,0.122090926808458,0.803571428571429
geometric,B,drop_gamma_rx2_only,1,42,stratified_kfold,5,0.900680272108844,0.124462766623425,0.857142857142857
geometric,B,drop_gamma_rx2_only,2,43,stratified_kfold,5,0.902040816326531,0.124416900618548,0.803571428571429
geometric,B,drop_gamma_rx2_only,3,44,stratified_kfold,5,0.877551020408163,0.129037573162378,0.803571428571429
geometric,B,drop_gamma_rx2_only,4,45,stratified_kfold,5,0.907482993197279,0.110396392196829,0.857142857142857
geometric,B,drop_gamma_rx2_only,5,46,stratified_kfold,5,0.906122448979592,0.120668680407212,0.839285714285714
geometric,B,drop_gamma_rx2_only,6,47,stratified_kfold,5,0.914285714285714,0.117106782484202,0.839285714285714
geometric,B,drop_gamma_rx2_only,7,48,stratified_kfold,5,0.858503401360544,0.163756406497125,0.767857142857143
geometric,B,drop_gamma_rx2_only,8,49,stratified_kfold,5,0.897959183673469,0.122779695904776,0.821428571428571
geometric,B,drop_gamma_rx2_only,9,50,stratified_kfold,5,0.892517006802721,0.143327168280358,0.785714285714286
geometric,B,drop_gamma_rx2_only,10,51,stratified_kfold,5,0.927891156462585,0.10032487248145,0.857142857142857
geometric,B,drop_gamma_rx2_only,11,52,stratified_kfold,5,0.904761904761905,0.123539781074033,0.821428571428571
geometric,B,drop_gamma_rx2_only,12,53,stratified_kfold,5,0.919727891156462,0.10572750652871,0.857142857142857
geometric,B,drop_gamma_rx2_only,13,54,stratified_kfold,5,0.900680272108843,0.126785917582485,0.839285714285714
geometric,B,drop_gamma_rx2_only,14,55,stratified_kfold,5,0.917006802721088,0.108332457556193,0.803571428571429
geometric,B,drop_gamma_rx2_only,15,56,stratified_kfold,5,0.882993197278912,0.143351975051494,0.767857142857143
geometric,B,drop_gamma_rx2_only,16,57,stratified_kfold,5,0.91156462585034,0.124493396561096,0.839285714285714
geometric,B,drop_gamma_rx2_only,17,58,stratified_kfold,5,0.881632653061224,0.135586973436726,0.803571428571429
geometric,B,drop_gamma_rx2_only,18,59,stratified_kfold,5,0.900680272108844,0.117329204222503,0.839285714285714
geometric,B,drop_gamma_rx2_only,19,60,stratified_kfold,5,0.861224489795918,0.146667255253736,0.785714285714286
geometric,B,drop_gamma_rx2_only,20,61,stratified_kfold,5,0.900680272108843,0.127158366382576,0.821428571428571
geometric,B,drop_gamma_both,1,42,stratified_kfold,5,0.892517006802721,0.125890441140281,0.767857142857143
geometric,B,drop_gamma_both,2,43,stratified_kfold,5,0.88843537414966,0.126125198199151,0.821428571428571
geometric,B,drop_gamma_both,3,44,stratified_kfold,5,0.882993197278912,0.129074306271289,0.785714285714286
geometric,B,drop_gamma_both,4,45,stratified_kfold,5,0.912925170068027,0.113682105670361,0.839285714285714
geometric,B,drop_gamma_both,5,46,stratified_kfold,5,0.908843537414966,0.119862741186195,0.821428571428571
geometric,B,drop_gamma_both,6,47,stratified_kfold,5,0.900680272108844,0.121178663611754,0.803571428571429
geometric,B,drop_gamma_both,7,48,stratified_kfold,5,0.863945578231292,0.160713153526725,0.714285714285714
geometric,B,drop_gamma_both,8,49,stratified_kfold,5,0.897959183673469,0.117931213374866,0.839285714285714
geometric,B,drop_gamma_both,9,50,stratified_kfold,5,0.892517006802721,0.130245288837499,0.767857142857143
geometric,B,drop_gamma_both,10,51,stratified_kfold,5,0.910204081632653,0.111596814733045,0.803571428571429
geometric,B,drop_gamma_both,11,52,stratified_kfold,5,0.880272108843537,0.12472480058507,0.821428571428571
geometric,B,drop_gamma_both,12,53,stratified_kfold,5,0.918367346938776,0.109034845019436,0.857142857142857
geometric,B,drop_gamma_both,13,54,stratified_kfold,5,0.900680272108844,0.124076249175898,0.821428571428571
geometric,B,drop_gamma_both,14,55,stratified_kfold,5,0.91156462585034,0.111103639377211,0.803571428571429
geometric,B,drop_gamma_both,15,56,stratified_kfold,5,0.893877551020408,0.132623924019417,0.803571428571429
geometric,B,drop_gamma_both,16,57,stratified_kfold,5,0.903401360544218,0.130581758576498,0.785714285714286
geometric,B,drop_gamma_both,17,58,stratified_kfold,5,0.877551020408163,0.128471085668124,0.803571428571429
geometric,B,drop_gamma_both,18,59,stratified_kfold,5,0.895238095238095,0.119775591897178,0.839285714285714
geometric,B,drop_gamma_both,19,60,stratified_kfold,5,0.857142857142857,0.151543033021715,0.75
geometric,B,drop_gamma_both,20,61,stratified_kfold,5,0.895238095238095,0.119203896250027,0.803571428571429
geometric,B,drop_rx1_branch,1,42,stratified_kfold,5,0.900680272108843,0.123489258018343,0.839285714285714
geometric,B,drop_rx1_branch,2,43,stratified_kfold,5,0.895238095238095,0.120137026014902,0.892857142857143
geometric,B,drop_rx1_branch,3,44,stratified_kfold,5,0.893877551020408,0.118528744850355,0.839285714285714
geometric,B,drop_rx1_branch,4,45,stratified_kfold,5,0.919727891156463,0.111850411744388,0.857142857142857
geometric,B,drop_rx1_branch,5,46,stratified_kfold,5,0.902040816326531,0.11654377399527,0.857142857142857
geometric,B,drop_rx1_branch,6,47,stratified_kfold,5,0.906122448979592,0.114816606563068,0.821428571428571
geometric,B,drop_rx1_branch,7,48,stratified_kfold,5,0.873469387755102,0.146803069941661,0.821428571428571
geometric,B,drop_rx1_branch,8,49,stratified_kfold,5,0.895238095238095,0.119657145908305,0.821428571428571
geometric,B,drop_rx1_branch,9,50,stratified_kfold,5,0.884353741496599,0.137770140690127,0.803571428571429
geometric,B,drop_rx1_branch,10,51,stratified_kfold,5,0.908843537414966,0.110245857339428,0.839285714285714
geometric,B,drop_rx1_branch,11,52,stratified_kfold,5,0.861224489795918,0.142913995570394,0.803571428571429
geometric,B,drop_rx1_branch,12,53,stratified_kfold,5,0.915646258503401,0.107389669839094,0.875
geometric,B,drop_rx1_branch,13,54,stratified_kfold,5,0.904761904761905,0.117824696609217,0.839285714285714
geometric,B,drop_rx1_branch,14,55,stratified_kfold,5,0.914285714285714,0.11611307093017,0.803571428571429
geometric,B,drop_rx1_branch,15,56,stratified_kfold,5,0.891156462585034,0.123465477255175,0.839285714285714
geometric,B,drop_rx1_branch,16,57,stratified_kfold,5,0.882993197278912,0.12746878528163,0.857142857142857
geometric,B,drop_rx1_branch,17,58,stratified_kfold,5,0.895238095238095,0.11591083362892,0.839285714285714
geometric,B,drop_rx1_branch,18,59,stratified_kfold,5,0.891156462585034,0.121004702441365,0.839285714285714
geometric,B,drop_rx1_branch,19,60,stratified_kfold,5,0.892517006802721,0.125217603811558,0.821428571428571
geometric,B,drop_rx1_branch,20,61,stratified_kfold,5,0.900680272108843,0.11952201481971,0.839285714285714
geometric,B,drop_rx2_branch,1,42,stratified_kfold,5,0.889795918367347,0.130102003352354,0.839285714285714
geometric,B,drop_rx2_branch,2,43,stratified_kfold,5,0.87891156462585,0.133915750894277,0.839285714285714
geometric,B,drop_rx2_branch,3,44,stratified_kfold,5,0.876190476190476,0.144786256865713,0.821428571428571
geometric,B,drop_rx2_branch,4,45,stratified_kfold,5,0.880272108843537,0.136104156740834,0.821428571428571
geometric,B,drop_rx2_branch,5,46,stratified_kfold,5,0.887074829931973,0.141515171978381,0.803571428571429
geometric,B,drop_rx2_branch,6,47,stratified_kfold,5,0.91156462585034,0.114910910430531,0.839285714285714
geometric,B,drop_rx2_branch,7,48,stratified_kfold,5,0.858503401360544,0.157474065025502,0.767857142857143
geometric,B,drop_rx2_branch,8,49,stratified_kfold,5,0.893877551020408,0.126731716562667,0.857142857142857
geometric,B,drop_rx2_branch,9,50,stratified_kfold,5,0.863945578231293,0.16652106251512,0.75
geometric,B,drop_rx2_branch,10,51,stratified_kfold,5,0.915646258503401,0.118094793065957,0.839285714285714
geometric,B,drop_rx2_branch,11,52,stratified_kfold,5,0.873469387755102,0.145432358735567,0.803571428571429
geometric,B,drop_rx2_branch,12,53,stratified_kfold,5,0.895238095238095,0.129361744255987,0.839285714285714
geometric,B,drop_rx2_branch,13,54,stratified_kfold,5,0.887074829931973,0.140065321046316,0.803571428571429
geometric,B,drop_rx2_branch,14,55,stratified_kfold,5,0.892517006802721,0.134725057451863,0.821428571428571
geometric,B,drop_rx2_branch,15,56,stratified_kfold,5,0.850340136054422,0.162995431729344,0.75
geometric,B,drop_rx2_branch,16,57,stratified_kfold,5,0.915646258503401,0.123060093258522,0.857142857142857
geometric,B,drop_rx2_branch,17,58,stratified_kfold,5,0.863945578231293,0.152784862178248,0.821428571428571
geometric,B,drop_rx2_branch,18,59,stratified_kfold,5,0.885714285714286,0.133617741881569,0.803571428571429
geometric,B,drop_rx2_branch,19,60,stratified_kfold,5,0.861224489795918,0.150430357750382,0.821428571428571
geometric,B,drop_rx2_branch,20,61,stratified_kfold,5,0.882993197278912,0.137412916704583,0.821428571428571
geometric,B,drop_lhcp_pair,1,42,stratified_kfold,5,0.870748299319728,0.144106305185477,0.803571428571429
geometric,B,drop_lhcp_pair,2,43,stratified_kfold,5,0.854421768707483,0.144828857713855,0.785714285714286
geometric,B,drop_lhcp_pair,3,44,stratified_kfold,5,0.859863945578231,0.142895552629594,0.821428571428571
geometric,B,drop_lhcp_pair,4,45,stratified_kfold,5,0.891156462585034,0.123664647513024,0.839285714285714
geometric,B,drop_lhcp_pair,5,46,stratified_kfold,5,0.868027210884354,0.143793226361581,0.785714285714286
geometric,B,drop_lhcp_pair,6,47,stratified_kfold,5,0.882993197278911,0.137761425768975,0.839285714285714
geometric,B,drop_lhcp_pair,7,48,stratified_kfold,5,0.859863945578231,0.149918636649196,0.839285714285714
geometric,B,drop_lhcp_pair,8,49,stratified_kfold,5,0.861224489795918,0.144555476094245,0.785714285714286
geometric,B,drop_lhcp_pair,9,50,stratified_kfold,5,0.835374149659864,0.179392208381523,0.732142857142857
geometric,B,drop_lhcp_pair,10,51,stratified_kfold,5,0.899319727891156,0.124856622486621,0.803571428571429
geometric,B,drop_lhcp_pair,11,52,stratified_kfold,5,0.840816326530612,0.159274153806568,0.785714285714286
geometric,B,drop_lhcp_pair,12,53,stratified_kfold,5,0.896598639455782,0.129870769456383,0.767857142857143
geometric,B,drop_lhcp_pair,13,54,stratified_kfold,5,0.863945578231292,0.14863586993344,0.767857142857143
geometric,B,drop_lhcp_pair,14,55,stratified_kfold,5,0.899319727891156,0.132932118947766,0.803571428571429
geometric,B,drop_lhcp_pair,15,56,stratified_kfold,5,0.858503401360544,0.154499301483332,0.767857142857143
geometric,B,drop_lhcp_pair,16,57,stratified_kfold,5,0.870748299319728,0.14197992922035,0.803571428571429
geometric,B,drop_lhcp_pair,17,58,stratified_kfold,5,0.850340136054422,0.146378827009899,0.821428571428571
geometric,B,drop_lhcp_pair,18,59,stratified_kfold,5,0.87891156462585,0.133879363708334,0.821428571428571
geometric,B,drop_lhcp_pair,19,60,stratified_kfold,5,0.827210884353742,0.158762283869893,0.75
geometric,B,drop_lhcp_pair,20,61,stratified_kfold,5,0.857142857142857,0.148359794538177,0.803571428571429
geometric,B,drop_rhcp_pair,1,42,stratified_kfold,5,0.892517006802721,0.118959718387676,0.892857142857143
geometric,B,drop_rhcp_pair,2,43,stratified_kfold,5,0.896598639455782,0.122726370068231,0.839285714285714
geometric,B,drop_rhcp_pair,3,44,stratified_kfold,5,0.891156462585034,0.133077137026796,0.821428571428571
geometric,B,drop_rhcp_pair,4,45,stratified_kfold,5,0.910204081632653,0.114688494980753,0.839285714285714
geometric,B,drop_rhcp_pair,5,46,stratified_kfold,5,0.895238095238095,0.132272521410278,0.821428571428571
geometric,B,drop_rhcp_pair,6,47,stratified_kfold,5,0.892517006802721,0.120756530695862,0.892857142857143
geometric,B,drop_rhcp_pair,7,48,stratified_kfold,5,0.85578231292517,0.159042076276199,0.767857142857143
geometric,B,drop_rhcp_pair,8,49,stratified_kfold,5,0.88843537414966,0.133917791459955,0.821428571428571
geometric,B,drop_rhcp_pair,9,50,stratified_kfold,5,0.889795918367347,0.140548806623389,0.803571428571429
geometric,B,drop_rhcp_pair,10,51,stratified_kfold,5,0.915646258503401,0.107847117093712,0.857142857142857
geometric,B,drop_rhcp_pair,11,52,stratified_kfold,5,0.889795918367347,0.130323310390499,0.839285714285714
geometric,B,drop_rhcp_pair,12,53,stratified_kfold,5,0.906122448979592,0.11484557509159,0.857142857142857
geometric,B,drop_rhcp_pair,13,54,stratified_kfold,5,0.900680272108844,0.13115691714517,0.821428571428571
geometric,B,drop_rhcp_pair,14,55,stratified_kfold,5,0.908843537414966,0.11891829807974,0.839285714285714
geometric,B,drop_rhcp_pair,15,56,stratified_kfold,5,0.861224489795918,0.150571415811545,0.821428571428571
geometric,B,drop_rhcp_pair,16,57,stratified_kfold,5,0.902040816326531,0.128456923617482,0.839285714285714
geometric,B,drop_rhcp_pair,17,58,stratified_kfold,5,0.896598639455782,0.126726030873454,0.839285714285714
geometric,B,drop_rhcp_pair,18,59,stratified_kfold,5,0.896598639455782,0.124926886837872,0.839285714285714
geometric,B,drop_rhcp_pair,19,60,stratified_kfold,5,0.903401360544218,0.124968036764115,0.821428571428571
geometric,B,drop_rhcp_pair,20,61,stratified_kfold,5,0.889795918367347,0.135903662320341,0.839285714285714
geometric,B,drop_a_fp_all,1,42,stratified_kfold,5,0.893877551020408,0.126974718129226,0.821428571428571
geometric,B,drop_a_fp_all,2,43,stratified_kfold,5,0.876190476190476,0.13226854951077,0.821428571428571
geometric,B,drop_a_fp_all,3,44,stratified_kfold,5,0.893877551020408,0.128382204504001,0.821428571428571
geometric,B,drop_a_fp_all,4,45,stratified_kfold,5,0.895238095238095,0.12357020819918,0.839285714285714
geometric,B,drop_a_fp_all,5,46,stratified_kfold,5,0.882993197278912,0.132618609932329,0.821428571428571
geometric,B,drop_a_fp_all,6,47,stratified_kfold,5,0.897959183673469,0.127633576142652,0.803571428571429
geometric,B,drop_a_fp_all,7,48,stratified_kfold,5,0.889795918367347,0.128313146920981,0.839285714285714
geometric,B,drop_a_fp_all,8,49,stratified_kfold,5,0.881632653061224,0.139875284317518,0.803571428571429
geometric,B,drop_a_fp_all,9,50,stratified_kfold,5,0.880272108843537,0.142674159316822,0.803571428571429
geometric,B,drop_a_fp_all,10,51,stratified_kfold,5,0.918367346938775,0.122651786317389,0.839285714285714
geometric,B,drop_a_fp_all,11,52,stratified_kfold,5,0.844897959183673,0.150409545965115,0.821428571428571
geometric,B,drop_a_fp_all,12,53,stratified_kfold,5,0.887074829931973,0.132402179771384,0.821428571428571
geometric,B,drop_a_fp_all,13,54,stratified_kfold,5,0.877551020408163,0.141488368831141,0.803571428571429
geometric,B,drop_a_fp_all,14,55,stratified_kfold,5,0.895238095238095,0.129978346068887,0.821428571428571
geometric,B,drop_a_fp_all,15,56,stratified_kfold,5,0.881632653061225,0.131041857323189,0.785714285714286
geometric,B,drop_a_fp_all,16,57,stratified_kfold,5,0.889795918367347,0.135414181398545,0.821428571428571
geometric,B,drop_a_fp_all,17,58,stratified_kfold,5,0.881632653061225,0.132318927956391,0.821428571428571
geometric,B,drop_a_fp_all,18,59,stratified_kfold,5,0.895238095238095,0.12865302897196,0.839285714285714
geometric,B,drop_a_fp_all,19,60,stratified_kfold,5,0.895238095238095,0.125637930155296,0.803571428571429
